fixture	seed	worstGap	meanGap	stranded	bboxArea	fill	overlaps	rootBoxes
stranding-portrait	5	120.9	75.1	1	256447	0.488	0	8
stranding-portrait	10	75.5	58.3	0	307718	0.406	0	8
stranding-portrait	15	75.5	58.3	0	307718	0.406	0	8
stranding-portrait	20	89.1	60.5	0	252382	0.495	0	8
stranding-portrait	25	56.4	52.4	0	315144	0.397	0	8
stranding-portrait	30	61.5	54.2	0	307718	0.406	0	8
stranding-portrait	35	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	40	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	45	60.8	54.0	0	307716	0.406	0	8
stranding-portrait	50	60.8	54.0	0	307716	0.406	0	8
stranding-portrait	60	71.3	57.6	0	246367	0.507	0	8
stranding-portrait	70	89.1	60.5	0	252377	0.495	0	8
stranding-portrait	80	75.5	61.2	0	231253	0.541	0	8
stranding-portrait	100	75.4	61.2	0	231253	0.541	0	8
stranding-portrait	120	65.3	55.3	0	246373	0.507	0	8
stranding-portrait	160	65.3	55.3	0	246373	0.507	0	8
stranding-portrait	200	65.3	55.3	0	246373	0.507	0	8
stranding-landscape	5	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	10	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	15	69.7	58.2	0	185313	0.500	0	8
stranding-landscape	20	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	25	63.5	55.1	0	241465	0.384	0	8
stranding-landscape	30	56.3	52.9	0	241466	0.384	0	8
stranding-landscape	35	56.3	52.9	0	241466	0.384	0	8
stranding-landscape	40	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	45	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	50	70.3	58.4	0	179384	0.516	0	8
stranding-landscape	60	64.4	55.4	0	234124	0.396	0	8
stranding-landscape	70	96.9	63.6	0	218996	0.423	0	8
stranding-landscape	80	96.9	63.6	0	218996	0.423	0	8
stranding-landscape	100	57.1	53.1	0	231524	0.400	0	8
stranding-landscape	120	57.1	53.1	0	231524	0.400	0	8
stranding-landscape	160	57.1	53.1	0	231524	0.400	0	8
stranding-landscape	200	66.2	55.9	0	234120	0.396	0	8
vault-3folders-4each-3loose	5	63.8	56.0	0	603081	0.599	0	7
vault-3folders-4each-3loose	10	170.4	79.2	1	796642	0.453	0	7
vault-3folders-4each-3loose	15	203.0	104.4	2	628020	0.575	0	7
vault-3folders-4each-3loose	20	174.4	73.7	1	929708	0.388	0	7
vault-3folders-4each-3loose	25	68.3	54.7	0	946450	0.381	0	7
vault-3folders-4each-3loose	30	68.3	57.5	0	946446	0.381	0	7
vault-3folders-4each-3loose	35	68.3	53.9	0	790162	0.457	0	7
vault-3folders-4each-3loose	40	174.0	73.4	1	945531	0.382	0	7
vault-3folders-4each-3loose	45	83.1	62.3	0	880841	0.410	0	7
vault-3folders-4each-3loose	50	58.6	53.0	0	767888	0.470	0	7
vault-3folders-4each-3loose	60	79.3	61.3	0	804427	0.449	0	7
vault-3folders-4each-3loose	70	79.3	61.3	0	804427	0.449	0	7
vault-3folders-4each-3loose	80	160.0	70.0	1	839680	0.430	0	7
vault-3folders-4each-3loose	100	166.1	74.0	1	775944	0.465	0	7
vault-3folders-4each-3loose	120	166.0	76.3	1	791483	0.456	0	7
vault-3folders-4each-3loose	160	174.9	84.6	1	752771	0.480	0	7
vault-3folders-4each-3loose	200	166.8	73.9	1	683921	0.528	0	7
vault-6folders-5each-8loose	5	407.9	122.0	5	2221370	0.472	0	15
vault-6folders-5each-8loose	10	423.6	126.3	4	1932485	0.543	0	15
vault-6folders-5each-8loose	15	581.9	125.8	5	2276889	0.461	0	15
vault-6folders-5each-8loose	20	527.9	126.4	5	1956405	0.536	0	15
vault-6folders-5each-8loose	25	533.4	120.4	5	2178999	0.481	0	15
vault-6folders-5each-8loose	30	219.2	102.9	5	1687083	0.622	0	15
vault-6folders-5each-8loose	35	208.0	102.4	5	1782437	0.589	0	15
vault-6folders-5each-8loose	40	207.7	102.4	5	1781428	0.589	0	15
vault-6folders-5each-8loose	45	427.7	110.8	4	2113147	0.496	0	15
vault-6folders-5each-8loose	50	414.0	111.2	5	1946499	0.539	0	15
vault-6folders-5each-8loose	60	338.1	105.6	5	1736151	0.604	0	15
vault-6folders-5each-8loose	70	349.3	110.5	6	1826303	0.574	0	15
vault-6folders-5each-8loose	80	398.7	112.4	5	2195540	0.478	0	15
vault-6folders-5each-8loose	100	229.2	113.1	6	1736125	0.604	0	15
vault-6folders-5each-8loose	120	261.7	110.3	5	1844665	0.569	0	15
vault-6folders-5each-8loose	160	569.9	134.8	5	2470216	0.425	0	15
vault-6folders-5each-8loose	200	406.6	114.4	4	2271474	0.462	0	15
vault-10folders-3each-15loose	5	538.1	166.7	14	2273759	0.503	0	26
vault-10folders-3each-15loose	10	528.8	173.6	13	2196510	0.521	0	26
vault-10folders-3each-15loose	15	644.4	200.9	17	2538027	0.451	0	26
vault-10folders-3each-15loose	20	542.5	184.9	13	2417972	0.473	0	26
vault-10folders-3each-15loose	25	583.5	171.6	13	2225080	0.514	0	26
vault-10folders-3each-15loose	30	647.8	169.2	12	2743463	0.417	0	26
vault-10folders-3each-15loose	35	727.8	160.1	12	2340691	0.489	0	26
vault-10folders-3each-15loose	40	554.0	197.5	15	2515259	0.455	0	26
vault-10folders-3each-15loose	45	454.9	168.2	14	2198152	0.520	0	26
vault-10folders-3each-15loose	50	713.5	178.3	12	2316037	0.494	0	26
vault-10folders-3each-15loose	60	698.9	176.2	13	2503349	0.457	0	26
vault-10folders-3each-15loose	70	788.7	176.3	13	2623097	0.436	0	26
vault-10folders-3each-15loose	80	599.6	195.6	15	2718346	0.421	0	26
vault-10folders-3each-15loose	100	703.3	166.6	11	2611600	0.438	0	26
vault-10folders-3each-15loose	120	697.1	194.7	16	2832357	0.404	0	26
vault-10folders-3each-15loose	160	527.5	155.6	10	2400489	0.476	0	26
vault-10folders-3each-15loose	200	607.1	170.1	12	2279961	0.502	0	26
ungrouped-star-12	5	223.4	101.0	4	358907	0.430	0	13
ungrouped-star-12	10	196.3	100.1	6	415665	0.372	0	13
ungrouped-star-12	15	178.9	95.9	4	425292	0.363	0	13
ungrouped-star-12	20	197.9	100.1	5	370598	0.417	0	13
ungrouped-star-12	25	188.6	100.3	4	414628	0.373	0	13
ungrouped-star-12	30	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	35	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	40	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	45	192.5	96.0	5	411996	0.375	0	13
ungrouped-star-12	50	205.0	98.4	4	389338	0.397	0	13
ungrouped-star-12	60	182.7	96.5	5	334916	0.461	0	13
ungrouped-star-12	70	204.6	102.7	5	395311	0.391	0	13
ungrouped-star-12	80	194.4	95.0	4	373572	0.414	0	13
ungrouped-star-12	100	187.9	96.2	3	364294	0.424	0	13
ungrouped-star-12	120	211.6	102.9	5	355018	0.435	0	13
ungrouped-star-12	160	202.1	96.8	4	370512	0.417	0	13
ungrouped-star-12	200	205.2	107.8	6	374144	0.413	0	13
ungrouped-star-30	5	397.4	200.6	22	1145524	0.344	0	31
ungrouped-star-30	10	511.4	235.8	23	1203565	0.328	0	31
ungrouped-star-30	15	408.9	204.0	22	1127000	0.350	0	31
ungrouped-star-30	20	446.0	197.8	22	1135133	0.348	0	31
ungrouped-star-30	25	526.3	256.3	23	1154481	0.342	0	31
ungrouped-star-30	30	443.5	209.1	24	1111752	0.355	0	31
ungrouped-star-30	35	563.9	237.4	23	1050194	0.376	0	31
ungrouped-star-30	40	460.3	215.0	22	1167995	0.338	0	31
ungrouped-star-30	45	592.8	283.9	24	1247269	0.316	0	31
ungrouped-star-30	50	548.0	257.2	23	1021109	0.386	0	31
ungrouped-star-30	60	545.6	249.3	23	1213928	0.325	0	31
ungrouped-star-30	70	484.7	233.6	24	1114684	0.354	0	31
ungrouped-star-30	80	418.2	215.3	23	1016397	0.388	0	31
ungrouped-star-30	100	385.3	200.8	24	1170447	0.337	0	31
ungrouped-star-30	120	574.4	247.6	23	1227933	0.321	0	31
ungrouped-star-30	160	423.1	206.5	23	1141088	0.346	0	31
ungrouped-star-30	200	628.4	262.5	24	1382550	0.285	0	31
cluster-chain-6	5	77.9	69.7	0	1031957	0.519	0	6
cluster-chain-6	10	657.0	239.5	2	928115	0.577	0	6
cluster-chain-6	15	364.0	112.8	1	698876	0.766	0	6
cluster-chain-6	20	364.0	112.8	1	691475	0.774	0	6
cluster-chain-6	25	364.0	112.8	1	678245	0.789	0	6
cluster-chain-6	30	364.2	116.8	1	895412	0.598	0	6
cluster-chain-6	35	74.1	56.4	0	933796	0.573	0	6
cluster-chain-6	40	343.0	108.6	1	691853	0.774	0	6
cluster-chain-6	45	343.0	108.6	1	691853	0.774	0	6
cluster-chain-6	50	343.2	108.7	1	691855	0.774	0	6
cluster-chain-6	60	343.2	108.7	1	691855	0.774	0	6
cluster-chain-6	70	343.2	108.7	1	691855	0.774	0	6
cluster-chain-6	80	64.0	55.1	0	1019945	0.525	0	6
cluster-chain-6	100	64.0	55.1	0	1019945	0.525	0	6
cluster-chain-6	120	64.0	55.1	0	1019945	0.525	0	6
cluster-chain-6	160	64.0	55.1	0	1019945	0.525	0	6
cluster-chain-6	200	61.2	54.6	0	1034575	0.517	0	6
cluster-chain-12	5	453.9	224.2	6	2349479	0.458	0	12
cluster-chain-12	10	427.5	119.6	3	1787494	0.601	0	12
cluster-chain-12	15	372.1	111.8	4	2237479	0.480	0	12
cluster-chain-12	20	391.5	129.2	4	2309681	0.465	0	12
cluster-chain-12	25	454.1	149.6	5	1933224	0.556	0	12
cluster-chain-12	30	401.3	184.7	6	2267860	0.474	0	12
cluster-chain-12	35	418.7	234.2	7	1972756	0.545	0	12
cluster-chain-12	40	451.1	168.6	5	1957220	0.549	0	12
cluster-chain-12	45	451.1	152.9	3	1831178	0.587	0	12
cluster-chain-12	50	409.7	110.9	4	1988176	0.541	0	12
cluster-chain-12	60	422.7	107.7	4	1882068	0.571	0	12
cluster-chain-12	70	450.9	91.8	1	1878896	0.572	0	12
cluster-chain-12	80	116.5	62.7	1	2145820	0.501	0	12
cluster-chain-12	100	113.1	61.6	1	1903332	0.565	0	12
cluster-chain-12	120	113.0	61.6	1	1903332	0.565	0	12
cluster-chain-12	160	69.7	56.5	0	1805190	0.596	0	12
cluster-chain-12	200	343.3	96.3	3	1749929	0.614	0	12
