fixture	seed	worstGap	meanGap	stranded	bboxArea	fill	overlaps	rootBoxes
stranding-portrait	36	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	37	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	38	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	39	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	40	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	41	61.5	54.1	0	307718	0.406	0	8
stranding-portrait	42	60.8	54.0	0	307716	0.406	0	8
stranding-portrait	43	60.8	54.0	0	307716	0.406	0	8
stranding-portrait	44	60.8	54.0	0	307716	0.406	0	8
stranding-landscape	36	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	37	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	38	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	39	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	40	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	41	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	42	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	43	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	44	73.4	56.5	0	185317	0.500	0	8
vault-3folders-4each-3loose	36	173.8	73.0	1	945533	0.382	0	7
vault-3folders-4each-3loose	37	173.8	73.0	1	945533	0.382	0	7
vault-3folders-4each-3loose	38	173.8	73.0	1	945533	0.382	0	7
vault-3folders-4each-3loose	39	174.0	73.4	1	945531	0.382	0	7
vault-3folders-4each-3loose	40	174.0	73.4	1	945531	0.382	0	7
vault-3folders-4each-3loose	41	174.0	73.4	1	945531	0.382	0	7
vault-3folders-4each-3loose	42	174.0	73.4	1	945531	0.382	0	7
vault-3folders-4each-3loose	43	83.1	62.3	0	880841	0.410	0	7
vault-3folders-4each-3loose	44	83.1	62.3	0	880841	0.410	0	7
vault-6folders-5each-8loose	36	208.0	102.4	5	1782439	0.589	0	15
vault-6folders-5each-8loose	37	208.0	102.4	5	1782439	0.589	0	15
vault-6folders-5each-8loose	38	208.0	102.4	5	1782439	0.589	0	15
vault-6folders-5each-8loose	39	207.7	102.4	5	1781429	0.589	0	15
vault-6folders-5each-8loose	40	207.7	102.4	5	1781428	0.589	0	15
vault-6folders-5each-8loose	41	208.0	102.4	5	1782436	0.589	0	15
vault-6folders-5each-8loose	42	208.0	102.4	5	1782436	0.589	0	15
vault-6folders-5each-8loose	43	207.0	109.1	6	1639345	0.640	0	15
vault-6folders-5each-8loose	44	228.3	111.4	7	1867746	0.562	0	15
vault-10folders-3each-15loose	36	1031.5	220.4	16	3059061	0.374	0	26
vault-10folders-3each-15loose	37	712.1	179.5	13	2598603	0.440	0	26
vault-10folders-3each-15loose	38	679.2	185.4	13	2440196	0.469	0	26
vault-10folders-3each-15loose	39	897.1	215.7	15	2532324	0.452	0	26
vault-10folders-3each-15loose	40	554.0	197.5	15	2515259	0.455	0	26
vault-10folders-3each-15loose	41	528.6	152.9	12	1870212	0.611	0	26
vault-10folders-3each-15loose	42	657.9	215.1	17	3030913	0.377	0	26
vault-10folders-3each-15loose	43	515.8	150.9	12	2270808	0.504	0	26
vault-10folders-3each-15loose	44	466.5	175.4	14	2108147	0.542	0	26
ungrouped-star-12	36	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	37	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	38	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	39	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	40	184.3	102.9	5	414049	0.373	0	13
ungrouped-star-12	41	183.3	98.7	5	414070	0.373	0	13
ungrouped-star-12	42	173.9	96.0	4	381102	0.405	0	13
ungrouped-star-12	43	173.9	96.0	4	381102	0.405	0	13
ungrouped-star-12	44	192.5	96.0	5	411998	0.375	0	13
ungrouped-star-30	36	394.4	209.3	22	1211785	0.326	0	31
ungrouped-star-30	37	387.3	197.1	22	1090932	0.362	0	31
ungrouped-star-30	38	508.5	207.5	21	1202351	0.328	0	31
ungrouped-star-30	39	591.3	240.5	23	1314881	0.300	0	31
ungrouped-star-30	40	460.3	215.0	22	1167995	0.338	0	31
ungrouped-star-30	41	469.4	214.5	22	1123941	0.351	0	31
ungrouped-star-30	42	451.1	212.2	22	1281953	0.308	0	31
