fixture	seed	worstGap	meanGap	stranded	bboxArea	fill	overlaps	rootBoxes
stranding-portrait	200	65.3	55.3	0	246373	0.507	0	8
stranding-portrait	300	65.3	55.2	0	255248	0.490	0	8
stranding-portrait	400	181.3	92.8	3	318790	0.392	0	8
stranding-portrait	600	69.9	57.5	0	255239	0.490	0	8
stranding-portrait	800	96.3	60.9	0	246381	0.507	0	8
stranding-portrait	1200	88.6	60.4	0	252872	0.494	0	8
stranding-landscape	200	66.2	55.9	0	234120	0.396	0	8
stranding-landscape	300	67.4	54.7	0	238536	0.388	0	8
stranding-landscape	400	75.7	56.8	0	231526	0.400	0	8
stranding-landscape	600	57.1	53.0	0	234122	0.396	0	8
stranding-landscape	800	76.7	56.8	0	234978	0.394	0	8
stranding-landscape	1200	73.7	59.0	0	218995	0.423	0	8
vault-3folders-4each-3loose	200	166.8	73.9	1	683921	0.528	0	7
vault-3folders-4each-3loose	300	269.6	122.2	3	838258	0.431	0	7
vault-3folders-4each-3loose	400	166.7	98.8	3	762503	0.473	0	7
vault-3folders-4each-3loose	600	167.1	72.7	1	684454	0.527	0	7
vault-3folders-4each-3loose	800	167.1	72.7	1	684456	0.527	0	7
vault-3folders-4each-3loose	1200	65.0	55.5	0	729952	0.495	0	7
vault-6folders-5each-8loose	200	406.6	114.4	4	2271474	0.462	0	15
vault-6folders-5each-8loose	300	391.8	111.6	4	2136520	0.491	0	15
vault-6folders-5each-8loose	400	413.6	110.9	4	2132715	0.492	0	15
vault-6folders-5each-8loose	600	381.8	109.7	4	2083417	0.504	0	15
vault-6folders-5each-8loose	800	403.7	107.8	3	1999690	0.525	0	15
vault-6folders-5each-8loose	1200	395.7	110.5	4	2269566	0.462	0	15
vault-10folders-3each-15loose	200	607.1	170.1	12	2279961	0.502	0	26
vault-10folders-3each-15loose	300	635.3	175.6	13	2851083	0.401	0	26
vault-10folders-3each-15loose	400	686.6	223.3	19	2328105	0.491	0	26
vault-10folders-3each-15loose	600	908.7	205.0	15	2425372	0.471	0	26
vault-10folders-3each-15loose	800	660.3	164.0	12	2451529	0.466	0	26
vault-10folders-3each-15loose	1200	517.4	145.3	11	2236422	0.511	0	26
ungrouped-star-12	200	205.2	107.8	6	374144	0.413	0	13
ungrouped-star-12	300	196.7	92.9	3	404371	0.382	0	13
ungrouped-star-12	400	228.1	111.6	5	332027	0.465	0	13
ungrouped-star-12	600	284.8	115.1	4	411736	0.375	0	13
ungrouped-star-12	800	193.3	98.0	4	333342	0.464	0	13
ungrouped-star-12	1200	193.3	98.0	4	333290	0.464	0	13
ungrouped-star-30	200	628.4	262.5	24	1382550	0.285	0	31
ungrouped-star-30	300	479.4	219.3	24	1113346	0.354	0	31
ungrouped-star-30	400	442.1	221.9	23	1302470	0.303	0	31
ungrouped-star-30	600	442.1	218.6	23	1246764	0.316	0	31
ungrouped-star-30	800	508.4	230.5	23	1219565	0.324	0	31
ungrouped-star-30	1200	575.7	257.9	23	1106474	0.357	0	31
cluster-chain-6	200	61.2	54.6	0	1034575	0.517	0	6
cluster-chain-6	300	55.2	52.4	0	908926	0.589	0	6
cluster-chain-6	400	54.8	50.9	0	1020052	0.525	0	6
cluster-chain-6	600	85.2	57.4	0	1102338	0.486	0	6
cluster-chain-6	800	104.5	62.5	1	1032099	0.519	0	6
cluster-chain-6	1200	104.5	62.5	1	1032546	0.519	0	6
cluster-chain-12	200	343.3	96.3	3	1749929	0.614	0	12
cluster-chain-12	300	75.5	54.8	0	1873822	0.574	0	12
cluster-chain-12	400	403.9	92.3	1	2013648	0.534	0	12
cluster-chain-12	600	119.9	64.5	1	2753407	0.390	0	12
cluster-chain-12	800	179.8	73.7	2	2781106	0.387	0	12
cluster-chain-12	1200	219.3	71.5	1	3107022	0.346	0	12
