fixture	seed	worstGap	meanGap	stranded	bboxArea	fill	overlaps	rootBoxes
stranding-portrait	1	202.9	112.9	4	351625	0.356	0	8
stranding-portrait	2	123.5	73.8	1	256438	0.488	0	8
stranding-portrait	3	120.9	75.1	1	256447	0.488	0	8
stranding-portrait	4	192.6	103.4	3	290718	0.430	0	8
stranding-portrait	5	120.9	75.1	1	256447	0.488	0	8
stranding-portrait	6	192.6	103.7	3	290718	0.430	0	8
stranding-portrait	7	121.0	75.1	1	256447	0.488	0	8
stranding-portrait	8	123.3	73.6	1	256437	0.488	0	8
stranding-portrait	9	100.3	66.2	1	224739	0.556	0	8
stranding-portrait	10	75.5	58.3	0	307718	0.406	0	8
stranding-portrait	11	75.5	58.3	0	307718	0.406	0	8
stranding-portrait	12	89.1	60.5	0	252379	0.495	0	8
stranding-portrait	13	89.1	60.5	0	252378	0.495	0	8
stranding-portrait	14	89.1	60.5	0	252382	0.495	0	8
stranding-portrait	16	75.5	58.3	0	307718	0.406	0	8
stranding-portrait	18	65.2	55.1	0	307716	0.406	0	8
stranding-landscape	1	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	2	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	3	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	4	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	5	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	6	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	7	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	8	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	9	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	10	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	11	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	12	67.2	57.5	0	177981	0.520	0	8
stranding-landscape	13	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	14	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	16	73.4	56.5	0	185317	0.500	0	8
stranding-landscape	18	73.4	56.5	0	185317	0.500	0	8
vault-3folders-4each-3loose	1	59.0	52.6	0	661460	0.546	0	7
vault-3folders-4each-3loose	2	57.8	52.9	0	661817	0.545	0	7
vault-3folders-4each-3loose	3	57.8	52.9	0	661817	0.545	0	7
vault-3folders-4each-3loose	4	63.5	55.9	0	601844	0.600	0	7
vault-3folders-4each-3loose	5	63.8	56.0	0	603081	0.599	0	7
vault-3folders-4each-3loose	6	63.5	55.9	0	601820	0.600	0	7
vault-3folders-4each-3loose	7	166.0	73.8	1	679771	0.531	0	7
vault-3folders-4each-3loose	8	139.9	78.3	2	847429	0.426	0	7
vault-3folders-4each-3loose	9	139.9	78.3	2	847448	0.426	0	7
vault-3folders-4each-3loose	10	170.4	79.2	1	796642	0.453	0	7
vault-3folders-4each-3loose	11	167.4	81.6	1	618638	0.584	0	7
vault-3folders-4each-3loose	12	63.8	56.0	0	603082	0.599	0	7
vault-3folders-4each-3loose	13	162.0	82.0	2	589152	0.613	0	7
vault-3folders-4each-3loose	14	63.5	55.9	0	601821	0.600	0	7
vault-3folders-4each-3loose	16	154.1	80.5	2	830462	0.435	0	7
vault-3folders-4each-3loose	18	87.6	62.2	0	748505	0.482	0	7
vault-6folders-5each-8loose	1	481.9	121.9	4	1937588	0.541	0	15
vault-6folders-5each-8loose	2	444.4	137.3	7	2092729	0.501	0	15
vault-6folders-5each-8loose	3	383.5	121.1	4	1902829	0.551	0	15
vault-6folders-5each-8loose	4	392.4	123.9	4	1896254	0.553	0	15
vault-6folders-5each-8loose	5	407.9	122.0	5	2221370	0.472	0	15
vault-6folders-5each-8loose	6	364.6	122.7	4	2137418	0.491	0	15
vault-6folders-5each-8loose	7	448.1	116.9	4	2172526	0.483	0	15
vault-6folders-5each-8loose	8	610.5	171.8	8	2390897	0.439	0	15
vault-6folders-5each-8loose	9	344.8	108.4	5	1979288	0.530	0	15
vault-6folders-5each-8loose	10	423.6	126.3	4	1932485	0.543	0	15
vault-6folders-5each-8loose	11	364.3	114.9	5	2077915	0.505	0	15
vault-6folders-5each-8loose	12	571.8	122.3	5	2063128	0.509	0	15
vault-6folders-5each-8loose	13	267.6	103.4	4	2105281	0.498	0	15
vault-6folders-5each-8loose	14	422.0	106.2	4	2170876	0.483	0	15
vault-6folders-5each-8loose	16	434.2	114.4	4	2358334	0.445	0	15
vault-6folders-5each-8loose	18	408.1	109.1	4	2358381	0.445	0	15
vault-10folders-3each-15loose	1	632.3	152.9	11	2600658	0.440	0	26
vault-10folders-3each-15loose	2	539.6	175.5	14	2690024	0.425	0	26
vault-10folders-3each-15loose	3	476.0	172.8	14	2450115	0.467	0	26
vault-10folders-3each-15loose	4	835.8	187.4	13	3040925	0.376	0	26
vault-10folders-3each-15loose	5	538.1	166.7	14	2273759	0.503	0	26
vault-10folders-3each-15loose	6	657.4	157.2	12	2567029	0.445	0	26
vault-10folders-3each-15loose	7	614.9	189.5	15	2332827	0.490	0	26
vault-10folders-3each-15loose	8	1050.1	210.5	15	2917472	0.392	0	26
vault-10folders-3each-15loose	9	639.1	162.4	12	2345670	0.488	0	26
vault-10folders-3each-15loose	10	528.8	173.6	13	2196510	0.521	0	26
vault-10folders-3each-15loose	11	740.0	167.0	12	2430643	0.470	0	26
vault-10folders-3each-15loose	12	578.6	157.9	12	2317438	0.493	0	26
vault-10folders-3each-15loose	13	891.4	186.3	14	2463375	0.464	0	26
vault-10folders-3each-15loose	14	582.8	157.2	13	2315024	0.494	0	26
vault-10folders-3each-15loose	16	799.7	188.2	14	3004599	0.381	0	26
vault-10folders-3each-15loose	18	426.2	156.4	11	2282970	0.501	0	26
ungrouped-star-12	1	194.2	97.9	4	332649	0.464	0	13
ungrouped-star-12	2	175.9	96.0	4	421408	0.367	0	13
ungrouped-star-12	3	207.0	95.3	3	314775	0.491	0	13
ungrouped-star-12	4	185.6	103.0	6	402282	0.384	0	13
ungrouped-star-12	5	223.4	101.0	4	358907	0.430	0	13
ungrouped-star-12	6	176.7	98.0	5	408956	0.378	0	13
ungrouped-star-12	7	196.5	100.3	6	415432	0.372	0	13
ungrouped-star-12	8	196.7	96.8	3	345201	0.448	0	13
ungrouped-star-12	9	195.0	105.8	5	381054	0.405	0	13
ungrouped-star-12	10	196.3	100.1	6	415665	0.372	0	13
ungrouped-star-12	11	176.6	93.0	4	379927	0.407	0	13
ungrouped-star-12	12	211.8	100.9	4	355651	0.434	0	13
ungrouped-star-12	13	206.8	98.2	4	417672	0.370	0	13
ungrouped-star-12	14	208.2	98.4	4	409120	0.378	0	13
ungrouped-star-12	16	176.8	98.2	5	408623	0.378	0	13
ungrouped-star-12	18	184.2	95.5	5	372936	0.414	0	13
ungrouped-star-30	1	437.3	206.3	21	1137846	0.347	0	31
ungrouped-star-30	2	476.9	224.0	23	1205798	0.327	0	31
ungrouped-star-30	3	369.6	195.5	22	1050809	0.375	0	31
ungrouped-star-30	4	487.1	205.0	22	1178146	0.335	0	31
ungrouped-star-30	5	397.4	200.6	22	1145524	0.344	0	31
ungrouped-star-30	6	547.6	247.0	23	1169362	0.337	0	31
ungrouped-star-30	7	399.2	199.5	22	1061619	0.372	0	31
ungrouped-star-30	8	410.0	203.7	22	1173999	0.336	0	31
ungrouped-star-30	9	463.1	213.0	23	1251379	0.315	0	31
ungrouped-star-30	10	511.4	235.8	23	1203565	0.328	0	31
ungrouped-star-30	11	426.3	215.7	22	1144648	0.345	0	31
ungrouped-star-30	12	532.6	246.6	23	1130024	0.349	0	31
ungrouped-star-30	13	432.1	210.5	24	1277694	0.309	0	31
ungrouped-star-30	14	578.1	261.7	24	1189467	0.332	0	31
ungrouped-star-30	16	531.7	215.1	23	1291458	0.306	0	31
ungrouped-star-30	18	447.7	211.6	22	1141808	0.346	0	31
cluster-chain-6	1	75.1	64.5	0	1031824	0.519	0	6
cluster-chain-6	2	77.9	69.7	0	1031957	0.519	0	6
cluster-chain-6	3	77.9	69.7	0	1031957	0.519	0	6
cluster-chain-6	4	77.9	69.7	0	1031957	0.519	0	6
cluster-chain-6	5	77.9	69.7	0	1031957	0.519	0	6
cluster-chain-6	6	343.0	108.6	1	691853	0.774	0	6
cluster-chain-6	7	59.7	54.8	0	989784	0.541	0	6
cluster-chain-6	8	59.7	54.8	0	989784	0.541	0	6
cluster-chain-6	9	59.8	54.8	0	989784	0.541	0	6
cluster-chain-6	10	657.0	239.5	2	928115	0.577	0	6
cluster-chain-6	11	657.0	239.5	2	928120	0.577	0	6
cluster-chain-6	12	657.0	239.5	2	928121	0.577	0	6
cluster-chain-6	13	657.0	239.5	2	928121	0.577	0	6
cluster-chain-6	14	657.0	239.5	2	928121	0.577	0	6
cluster-chain-6	16	364.0	112.8	1	690049	0.776	0	6
cluster-chain-6	18	364.2	116.9	1	895412	0.598	0	6
