fixture	seed	worstGap	meanGap	stranded	bboxArea	fill	overlaps	rootBoxes
stranding-portrait	15	75.5	58.3	0	307718	0.406	0	8
stranding-portrait	17	65.2	55.1	0	307716	0.406	0	8
stranding-landscape	15	69.7	58.2	0	185313	0.500	0	8
stranding-landscape	17	73.4	56.5	0	185317	0.500	0	8
vault-3folders-4each-3loose	15	203.0	104.4	2	628020	0.575	0	7
vault-3folders-4each-3loose	17	68.3	54.7	0	946450	0.381	0	7
vault-6folders-5each-8loose	15	581.9	125.8	5	2276889	0.461	0	15
vault-6folders-5each-8loose	17	434.2	114.4	4	2358334	0.445	0	15
vault-10folders-3each-15loose	15	644.4	200.9	17	2538027	0.451	0	26
vault-10folders-3each-15loose	17	615.9	162.0	11	2379614	0.481	0	26
ungrouped-star-12	15	178.9	95.9	4	425292	0.363	0	13
ungrouped-star-12	17	194.9	98.7	5	414045	0.373	0	13
ungrouped-star-30	15	408.9	204.0	22	1127000	0.350	0	31
ungrouped-star-30	17	503.1	215.3	23	1163230	0.339	0	31
cluster-chain-6	15	364.0	112.8	1	698876	0.766	0	6
cluster-chain-6	17	364.0	112.8	1	690042	0.776	0	6
cluster-chain-12	15	372.1	111.8	4	2237479	0.480	0	12
cluster-chain-12	17	433.8	218.0	7	2379566	0.452	0	12
